model,task,sparsity,achieved_sparsity,accuracy,precision,recall,f1_score,memory_size_mb,nominal_bits,effective_bits,latency_ms,throughput_samples_per_sec
distilbert,sst2,0.9,0.8999999953551766,0.4908256880733945,0.24090985607272117,0.4908256880733945,0.32318983768525056,255.41699981689453,32,3.2000001486343486,16.69734840000577,958.2359795519671
distilbert,sst2,0.95,0.9500000092896467,0.4908256880733945,0.24090985607272117,0.4908256880733945,0.32318983768525056,255.41699981689453,32,1.5999997027313064,16.691588666678093,958.5666361369942
distilbert,sst2,0.99,0.9899999972131059,0.4908256880733945,0.24090985607272117,0.4908256880733945,0.32318983768525056,255.41699981689453,32,0.32000008918060985,16.49516410000918,969.9812565060262
bert-base,sst2,0.0,,0.9288990825688074,0.92915463241652,0.9288990825688074,0.9289046932300385,417.65528106689453,32,32.0,27.537727933304268,581.0210645828016
bert-base,sst2,0.1,0.10000000467693947,0.9288990825688074,0.9290674185674606,0.9288990825688074,0.928905067494517,417.65528106689453,32,28.799999850337937,28.870721333320642,554.1946740878233
bert-base,sst2,0.2,0.19999999766153026,0.9288990825688074,0.92915463241652,0.9288990825688074,0.9289046932300385,417.65528106689453,32,25.60000007483103,31.030165099946316,515.6272919742757
bert-base,sst2,0.3,0.30000000233846974,0.9231651376146789,0.9232968498850527,0.9231651376146789,0.9231715042820868,417.65528106689453,32,22.39999992516897,31.487516433298875,508.13788486282704
bert-base,sst2,0.4,0.3999999953230605,0.9151376146788991,0.9157540246239552,0.9151376146788991,0.9151376146788991,417.65528106689453,32,19.200000149662063,27.650001933337382,578.6618040235625
bert-base,sst2,0.5,0.5,0.8830275229357798,0.8864668224055997,0.8830275229357798,0.8828797308909716,417.65528106689453,32,16.0,28.122871366698142,568.9319483552626
bert-base,sst2,0.6,0.6000000046769395,0.8027522935779816,0.8217631234048424,0.8027522935779816,0.8003537883043126,417.65528106689453,32,12.799999850337937,27.314006866678632,585.7800387214148
bert-base,sst2,0.7,0.6999999976615303,0.49655963302752293,0.7514734981958244,0.49655963302752293,0.33577786001725035,417.65528106689453,32,9.60000007483103,29.34333510002034,545.2686255826765
bert-base,sst2,0.8,0.8000000023384697,0.4908256880733945,0.24090985607272117,0.4908256880733945,0.32318983768525056,417.65528106689453,32,6.39999992516897,30.057986600028624,532.3044491604359
bert-base,sst2,0.9,0.8999999953230605,0.5080275229357798,0.4855677319231057,0.5080275229357798,0.3548894530880854,417.65528106689453,32,3.2000001496620634,28.476978199978475,561.8573672965094
