model,task,sparsity,achieved_sparsity,accuracy,precision,recall,f1_score,memory_size_mb,nominal_bits,effective_bits,latency_ms,throughput_samples_per_sec
bert-base,cola,0.4,0.3999999953230605,0.8044103547459253,0.7984286414758971,0.8044103547459253,0.7954032854255013,417.65528106689453,32,19.200000149662063,27.757225700012594,576.4264834288804
bert-base,cola,0.5,0.5,0.6059443911792906,0.7827375680046615,0.6059443911792906,0.6102024723515035,417.65528106689453,32,16.0,27.42705506667941,583.3655841322201
bert-base,cola,0.6,0.6000000046769395,0.3096836049856184,0.5561392187231112,0.3096836049856184,0.1493414775620173,417.65528106689453,32,12.799999850337937,27.4336676333102,583.2249706405519
bert-base,cola,0.7,0.6999999976615303,0.3087248322147651,0.09531102202603486,0.3087248322147651,0.14565479263465841,417.65528106689453,32,9.60000007483103,27.330707999984345,585.4220827359893
bert-base,cola,0.8,0.8000000023384697,0.3087248322147651,0.09531102202603486,0.3087248322147651,0.14565479263465841,417.65528106689453,32,6.39999992516897,27.103811800013016,590.3228711170551
bert-base,cola,0.9,0.8999999953230605,0.6912751677852349,0.47786135759650467,0.6912751677852349,0.5650900181101524,417.65528106689453,32,3.2000001496620634,26.914179166669783,594.4821835701466
bert-base,cola,0.95,0.9499999976615303,0.6912751677852349,0.47786135759650467,0.6912751677852349,0.5650900181101524,417.65528106689453,32,1.60000007483103,26.924714800012833,594.2495628585962
bert-base,cola,0.99,0.9900000018707757,0.6912751677852349,0.47786135759650467,0.6912751677852349,0.5650900181101524,417.65528106689453,32,0.3199999401351761,26.538969400007772,602.8870133892733
distilbert,sst2,0.0,,0.9128440366972477,0.9128600625394009,0.9128440366972477,0.9128472469123163,255.41699981689453,32,32.0,17.03606046664087,939.1842692346842
distilbert,sst2,0.1,0.10000000464482336,0.9094036697247706,0.9094765781559317,0.9094036697247706,0.9094102237701012,255.41699981689453,32,28.79999985136565,16.980026766668743,942.2835558426501
distilbert,sst2,0.2,0.20000000928964673,0.9071100917431193,0.9073187452628104,0.9071100917431193,0.9071177884349987,255.41699981689453,32,25.599999702731303,16.96866023333617,942.9147487181594
distilbert,sst2,0.3,0.29999999071035327,0.908256880733945,0.90886865601776,0.908256880733945,0.908256880733945,255.41699981689453,32,22.400000297268697,17.017219033338428,940.2241323129474
distilbert,sst2,0.4,0.39999999535517666,0.9059633027522935,0.9068973871139248,0.9059633027522935,0.9059534089432698,255.41699981689453,32,19.200000148634345,16.966498766669247,943.0348724294291
distilbert,sst2,0.5,0.5,0.8887614678899083,0.8973093373418198,0.8887614678899083,0.8883270334999878,255.41699981689453,32,16.0,16.92868153334833,945.1415320490913
distilbert,sst2,0.6,0.6000000046448234,0.8279816513761468,0.8460303896184028,0.8279816513761468,0.8261474828524872,255.41699981689453,32,12.799999851365651,16.88077416668724,947.8238285762172
distilbert,sst2,0.7,0.7000000092896467,0.805045871559633,0.806438255035125,0.805045871559633,0.8046508610841101,255.41699981689453,32,9.599999702731306,16.625541599993692,962.3746633316338
distilbert,sst2,0.8,0.7999999907103533,0.5573394495412844,0.7162254505396148,0.5573394495412844,0.44980282003638755,255.41699981689453,32,6.400000297268694,16.705223600001773,957.7842465992675
